,id,listing_url,name,description,picture_url,host_id,host_url,host_name,host_response_rate,neighbourhood,neighbourhood_group,latitude,longitude,room_type,accommodates,room_type,bedrooms,beds,price,minimum_nights,review_scores_rating,availability_365,instant_bookable,bathrooms
22,37836,https://www.airbnb.com/rooms/37836,Weekend in Berlin Party Center - II,"<b>The space</b><br />Beautiful 20 sq.m. room in a 120 sq.m. shared apartment in the center of Berlin's alternative district - Wrangelkiez in Kreuzberg. 5 min walk from Metro U1 Schlesisches Tor. Live 10secs near one of the coolest parks - Görlitzer Park- 10min walk to 2 rivers that cross through the city. Lick your lips with diverse and delicious foods: authentic german, turkish, spanish, mexican, thai, vietnamese, indian foods- all on the same street. Berlin's hippest venues and clubs are at walking distance: Berghain, Club der Visionäre, Arena, Watergate - if getting sweaty in nightclubs is your thing. Or just relax at the sunny terraces of a hundred cafés in the area.<br />When you're ready for a nap, or some cool afternoon love, retreat to the bright and cosy room. Through the two large windows, which can be opened all the way, you have a view of one of Berlin's oldest churches which is a few meters from the sill of the window. There are a comfy bed of 1,20m with a a side table, a",https://a0.muscache.com/pictures/76222523/9fce044c_original.jpg,272316,https://www.airbnb.com/users/show/272316,Desiree,100.0,südliche Luisenstadt,Friedrichshain-Kreuzberg,52.49847,13.440129999999998,Private room,3,Private room,1.0,1.0,35.0,2,90.0,89,f,0.0
28,42742,https://www.airbnb.com/rooms/42742,Spacious 35m2 in Central Apartment,"<b>The space</b><br />Spacious 35 square metre room in shared apartment, 3 minutes walk from metro station Schlesisches Tor, in one of the hippest streets of town: Falckensteinstraße. <br /> <br /> The room and the whole flat are furnished and fully equipped with everything you need (large bed of 1,60m width, bath tub, kitchen appliances, phone, internet, washing machine, etc.). The flat is quite light & bright (third floor) but still cool in summer. I got a very nice & cool flatmate & also the neighbours are super nice! The big double bed is perfect for one or two people. And the room can potentially accomodate up to 3 or 4 people. <br /> <br /> Falckensteinstr. itself has several clubs, many bars & restaurants, shops, ... On the one end of the street is Görlitzer park, on the other end is Oberbaumbrücke across the river Spree. Within walking distance about half of Berlin's nightlife is located - where you can party hard and long!<br /><br /><b>Guest access</b><br />Included in the pr",https://a0.muscache.com/pictures/76198327/22f4b64f_original.jpg,272316,https://www.airbnb.com/users/show/272316,Desiree,100.0,südliche Luisenstadt,Friedrichshain-Kreuzberg,52.496669999999995,13.440339999999999,Private room,3,Private room,1.0,1.0,37.0,2,89.0,246,f,0.0
29,42809,https://www.airbnb.com/rooms/42809,The Berlin Artist Apartment.,"A large art filled two bedroom holiday apartment sleeping up to four. In the heart of a famous Simon Dach street, in Berlin's hip Friedrichshain district, the apartment has many cafes, markets & bars just outside the front door. Situated close the leftovers of the wall, 02 stadium,  and great public transport links - the perfect base to explore Berlin. The holiday apartment is officially registered, so there will be no last minute cancellations.<br /><br />2nd level (no lift), beautiful mansion block.<br /><br /><b>The space</b><br />An art filled 74.7m2, two bedroom holiday apartment rental in Berlin's hip Friedrichshain district, in the former East Berlin. The apartment is situated in the heart of the famous Simon Dach Strasse, a vibrant tree-lined street filled  to the brim with street cafes, restaurants and great bars. Walk to the 02 stadium, walk to the largest left over of the Berlin Wall, and great transport options anywhere.<br /><br />The apartment sleeps up to six people. The",https://a0.muscache.com/pictures/577101/3e04fece_original.jpg,186851,https://www.airbnb.com/users/show/186851,Tina,100.0,Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,52.51099,13.456420000000001,Entire home/apt,4,Entire home/apt,2.0,2.0,105.0,4,98.0,355,t,1.0
36,57209,https://www.airbnb.com/rooms/57209,Top apartment in Mitte-Arkonaplatz,"This apartment is a LEGAL holiday flat (01/Z/ZA/005236-16)<br />The 3-room apartment (67qm) is on the 3rd floor at the front of the house. It is very bright and quiet and here are two bedrooms, large bathroom and a fully equipped kitchen with dining table, dishwasher and big balcony. Apartment provide fast WI-Fi (50 Mbits/s) without data limit.<br /><br /><b>The space</b><br />The apartment<br /><br />The 3-room apartment (67qm) is on the 3rd floor at the front of the house. It is very bright and quiet and here are two bedrooms with a a living room, large bathroom and a fully equipped kitchen with dining table, dishwasher and big balcony.<br />The kitchen includes: 2-plate stove, microwave, dishwasher, refrigerator, toaster, caffettiere, iron, ironing board, vacuum cleaner.<br />The 1st bedroom has a king-size bed (180 * 200) and a large wardrobe. The 2nd Bedroom has two single beds (80 * 200)  and a wardrobe.<br /><br />The living room has a sofa bed, a wardrobe and a dining table wit",https://a0.muscache.com/pictures/342014/22302c71_original.jpg,272286,https://www.airbnb.com/users/show/272286,Vilius,0.0,Brunnenstr. Süd,Mitte,52.53683,13.398970000000002,Entire home/apt,5,Entire home/apt,2.0,4.0,81.0,2,92.0,48,f,1.0
37,58780,https://www.airbnb.com/rooms/58780,light quiet beautiful 4 room flat,"We offer our 4 room apartment in Prenzlauer Berg situated between Kollwitzplatz and the Volkspark Friedrichshain.<br /><br /><b>The space</b><br />We offer our 4 room apartment in Prenzlauer Berg.<br />It is situated between Kollwitzplatz and the Volkspark Friedrichshain.<br />Details on the apartment:<br />Situated on 4th floor of typical historical Berlin building - very light and quiet (no elevator)<br />Wooden floors, with open kitchen area, bathroom with bathtub and washing machine<br />Kitchen amenities: dishwasher, tea and coffee facilities, water heater, electric oven and gas stove, refrigerator, dishes and cutlery, pots and pans<br />Sheets and towels provided<br />Wireless DSL flat internet<br />3 bedrooms with double bed<br />Open kitchen area<br />Sleeping possibilities for up to 5 people<br />Balcony<br />Closest tramway station: Prenzlauer Allee or Greifswalder Str or Danziger Str./Winsstr<br />Special note : we periodically house a cat  - not during rental periods (!)- s",https://a0.muscache.com/pictures/caa048ba-e297-4b05-bb2d-ee7a8280fa24.jpg,281614,https://www.airbnb.com/users/show/281614,Katja,100.0,Prenzlauer Berg Süd,Pankow,52.5342,13.42671,Entire home/apt,4,Entire home/apt,3.0,3.0,136.0,5,96.0,279,f,1.5
40,64014,https://www.airbnb.com/rooms/64014,"Rooftop apt. w/ grand view, 2 bedrooms,2 bathrooms","I am renting out my spacious, bright rooftop apartment. Make yourself comfortable in 2 stylish bedrooms and a huge livingroom. Bedrooms and living room have individual access to the patio. One of the two  bathrooms and the well equipped diningroom/kitchen space have adjacent balconies.<br /><br /><b>The space</b><br />The approx. 225-square-meter (820 square feet) flat has 1 large patio and 2 balconies. The interior designboasts selected designer pieces such as vintage lounge chairs and lights, modern couches and luxurious boxspring beds. Underfloor heating makes for a cozy atmosphere in all rooms.<br /><br /><b>Guest access</b><br />The apartment sleeps 4 people max. A lift gets you up to the apartment on the 6th floor.<br /><br />Feel free to use dishwasher, washing machine, and pressing iron if needed. Bedding will be provided. <br /><br />Free use of WiFi, cable tv, and library.<br /><br /><b>Other things to note</b><br />Please note that the second bedroom has a comfortable single",https://a0.muscache.com/pictures/1135114/9db3c8cf_original.jpg,312896,https://www.airbnb.com/users/show/312896,Stephan,83.0,Prenzlauer Berg Nordwest,Pankow,52.54076,13.4043,Entire home/apt,4,Entire home/apt,2.0,3.0,154.0,2,91.0,352,f,2.0
44,68448,https://www.airbnb.com/rooms/68448,Quiet studio in Prenzlauer Berg near Mauerpark,"COVID CLEANING PROTOCOL<br />In order to help our guests, feel secure during Covid times, we are cleaning our apartments according to the guidelines put forward by the ECDC. All frequently touched surfaces, such as door knobs and switches are not only cleaned but also treated with disinfectant.<br /><br /><b>The space</b><br />Modern and quiet apartment in period house in the heart of the Prenzlauer Berg. Perfect for couples and people who are looking for an authentic and relaxing Berlin experience in one of Berlin's most popular neighborhoods.<br /><br />The studio apartment is located in the rear building of a typical ""Berliner Altbau"". Built in 1910 it still has lofty high ceilings and windows. <br /><br />The main living area has a comfortable queen size bed (160x200), a stylish couch that can be converted into a double bed (184x196), a dinner table with chairs and a spacious wardrobe.<br /><br />The kitchen is equipped with everything you might need, including an oven and hub, a t",https://a0.muscache.com/pictures/d86bc92a-c58c-4c77-a38a-0458e4400d75.jpg,163384,https://www.airbnb.com/users/show/163384,Alan & Kasia,100.0,Prenzlauer Berg Nord,Pankow,52.5498,13.41596,Entire home/apt,4,Entire home/apt,1.0,2.0,51.0,2,91.0,340,t,1.0
46,74614,https://www.airbnb.com/rooms/74614,City apartment in Prenzlauer Berg,"Minimum of stay 4 nights except as last minute booking (same week and no weekends) for two nights are also possible. Minimum of stay of 5 nights over New Year's Eve<br /><br /><b>The space</b><br />This attractive apartment comprises of 101m2, is fully furnished, and is located in a district containing buildings dating from the period of the economic boom. The flat consists of three bedrooms, a living-room with a sofa-bed, a kitchen, a balcony and a bathroom with a shower and bath. The kitchen is fully-furnished and contains a dining table which sits eight guests as well as a refrigerator, a toaster, a coffee machine and a dish washer.<br /><br />The bathroom is large, well maintained and comprises of a bath, shower unit, a wash basin and a toilet. The two bedrooms contain comfortable double beds and the third room contains two single beds.<br /><br /><b>Guest access</b><br />You'll have access to the entire apartment: 3 bedrooms , kitchen/living room, bathroom and hall way.<br /><br /",https://a0.muscache.com/pictures/495279/8c434b7e_original.jpg,393047,https://www.airbnb.com/users/show/393047,Fatena,71.0,Prenzlauer Berg Südwest,Pankow,52.5377,13.408539999999999,Entire home/apt,6,Entire home/apt,3.0,4.0,120.0,2,81.0,265,f,1.0
55,86090,https://www.airbnb.com/rooms/86090,spacious and cozy living in PrenzlBerg,"<b>The space</b><br />THE APARTMENT:<br />spacious, stylish, bright and cozy place (1 bedroom) on the top floor (with lift access) and south-facing balcony.<br />The accommodation is a private part of our huge roof top property with all you need for an unforgettable stay in one of the best neighborhoods of Berlin. Cozy beds and space for chilling and dining are offered, you won't miss anything! <br />Food can be prepared in the fully equipped kitchen (refrigerator, dishwasher, stove, coffee maker, microwave / grill, kettle, toaster, etc.). Bathroom with tub, large window, Miele washing machine. Bedlinen and towels are included in price.<br />DESIGN: Arne Jacobsen Egg Chair + Ox Chair, Club Sofas, Chaissez Lounge, 60th lamps and more. <br />TECHNOLOGY: flat-screen TV, DVD player, stereo system, ipod docking station, radio. INTERNET: Wireless<br /><br /><br />LOCATION:<br />The apartment is located in the trendy district of Prenzlauer Berg in the popular Helmholtz neighborhood. The place",https://a0.muscache.com/pictures/2608003/0e0bf4cf_original.jpg,472567,https://www.airbnb.com/users/show/472567,Alexandra,100.0,Prenzlauer Berg Nord,Pankow,52.545840000000005,13.426120000000001,Entire home/apt,5,Entire home/apt,1.0,4.0,79.0,3,97.0,69,t,1.0
59,91290,https://www.airbnb.com/rooms/91290,Gardenside flat for 2-3 guests,"<b>The space</b><br />Hi! I offer my beautiful apartment and the garden  for up to three lovely people who will enjoy it.<br /><br />2 room apartment in the center of Kreuzkolln, the neighborhood in between Kreuzberg and Neukolln ( Hobrechtstr 26-27).<br /><br />Close to the canal and fresh fruit & vegetable market.<br /><br />Close to 2  metro stations connect you directly to Mitte in 10 minutes.<br /><br />Surrounded by bars, cafes, galleries and boutiques.<br /><br />It has a big kitchen, nice bathroom with big shower,  living room and charming bedroom, wooden floors, high ceilings and big windows.<br /><br />First floor apartment with view of pretty courtyard garden.<br /><br />Internet and flat rate telephone in Germany, heating, electricity, water, washing machine, clean towels and sheets are included.<br /><br />Double size bed in bedroom and sleeper sofa in living room. Both very comfortable.",https://a0.muscache.com/pictures/667340/5e141f45_original.jpg,382397,https://www.airbnb.com/users/show/382397,Josep,100.0,Reuterstraße,Neukölln,52.49004,13.42619,Entire home/apt,3,Entire home/apt,1.0,2.0,60.0,2,99.0,346,f,1.0
60,102882,https://www.airbnb.com/rooms/102882,STORAGE APARTMENT URBAN,"Storage Berlin - Contemporary and innovative lodging & locationservice for film, photo & advertising in the heart of Berlin!<br />A lot of space in this sunny studio for your production & your team or friends! Feel home as in your own one!<br /><br /><b>The space</b><br />Rent one of the rooms as single traveller or accommodate a whole bunch of people!<br />Shared commons include fully equipped kitchen, 2 large and modern bathrooms, a meet´n´greet and dining area with wooden table and a large lounge with free wlan access.<br /><br />Completed in 1913, the building that houses this Berlin loft apartment started life as a printing factory. Today, the stunning fourth floor loft, which retains some of the quainter industrial features such as exposed brickwork, and incorporates found and hand-crafted items, is a uniquely renovated urban environment for short stay visitors and film shoots.<br /><br /> A beautiful example of Berlin’s growing trend for factory and warehouse conversions, the ap",https://a0.muscache.com/pictures/14416283/70bef877_original.jpg,86173,https://www.airbnb.com/users/show/86173,Sebastian,100.0,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,52.488780000000006,13.42196,Entire home/apt,14,Entire home/apt,5.0,10.0,521.0,3,94.0,291,t,2.0
61,106331,https://www.airbnb.com/rooms/106331,Beautiful flat in Prenzlauer Berg,"A beautiful one-bedroom flat in Prenzlauer Berg, great for stays of a few days, weeks or months. Please give me a message if you wish to book or have any questions.<br /><br /><b>The space</b><br />This well-equipped apartment sleeps up to four persons.<br /><br />Furniture from Biedermeier to present-day. DSL/WLAN internet access. 55 square metres, ground floor of a 1912 building, windows facing a quiet courtyard.<br /><br />There's a queen-sized (160x200 cm) double bed in bedroom. Living room has a bed-sofa opening to a 140x200 cm wide double bed, a dinner table for four and a hifi stereo system. There's also a 90x200 cm wide extra mattress. Bathroom with a tub, kitchen with necessary equipment as well as a washing machine for clothes (no dishwasher). All the necessary bedlinen, towels, etc available. No television. (For children: a toddler bed/cot and a highchair available.)",https://a0.muscache.com/pictures/911623/d798d59d_original.jpg,551159,https://www.airbnb.com/users/show/551159,Lauri,100.0,Prenzlauer Berg Süd,Pankow,52.5337,13.4367,Entire home/apt,3,Entire home/apt,1.0,2.0,75.0,60,95.0,152,f,1.0
64,114763,https://www.airbnb.com/rooms/114763,In the heart of Berlin!,"<b>The space</b><br />Welcome to ""Zum Schönen Berg"" <br />Our flat is located in the middle of Schöneberg in the so-called Akazienkiez in the heart of Berlin. It is THE childfriendly accommodation and is therefore ideal for young families. It is of course also suitable for small groups without children.The flat is on the basement floor of a typical Berlin house from the turn of last century. The spacious flat of 150 square metres is especially suitable for families or small groups of max. 6 people. ""Zum Schönen Berg"" offers a relaxing homebase for your trip or longer stay in Berlin. <br />Our flat has a spacious dining-room, two bedrooms, a play-room or extra bedroom,  <br />a well equipped kitchen and a bathroom with a tub.",https://a0.muscache.com/pictures/5972871/506eb8ff_original.jpg,582007,https://www.airbnb.com/users/show/582007,Julia,100.0,Schöneberg-Süd,Tempelhof - Schöneberg,52.48805,13.35325,Entire home/apt,6,Entire home/apt,3.0,6.0,119.0,3,98.0,274,t,1.0
65,115576,https://www.airbnb.com/rooms/115576,Bed and Garden,"<b>The space</b><br />Historical.Villa, romant. Home, garden with barbecue, children welcome, four persons <br /> <br /> In our half-timbered villa in Pankow-Niederschönhausen, we offer in historic ambiance a tasteful and stylish apartment for your stay in Berlin. On two floors you can live, sleep and cook. The apartment has its own garden entrance, the garden is available for our guests. (Barbecue and seating available). Families with children are welcome, there is a playground in the garden) <br /> <br /> Holiday home's equipment is unique and high quality: <br /> The interior is in color and style of furniture lovingly adapted to the building. Underfloor heating and W-Lan make your stay more comfortable.<br /><br /><b>License number</b><br />03/Z/ZA/001284-16",https://a0.muscache.com/pictures/1110456/bbc7d4e4_original.jpg,584750,https://www.airbnb.com/users/show/584750,Axel,100.0,Blankenfelde/Niederschönhausen,Pankow,52.5815,13.397860000000001,Entire home/apt,4,Entire home/apt,2.0,2.0,75.0,2,100.0,318,f,1.0
67,117649,https://www.airbnb.com/rooms/117649,F43 - your base for Berlin,"Living, cooking, sleeping in a fully equipped apartment.<br />Bars, clubs and concerts, Oberbaum-bridge, East Side Gallery or tasty and affordable food in one of the many restaurants of our neighbourhood.<br /><br /><b>The space</b><br />Gather power for bars, clubs and concerts.<br />Get in the mood for sports and entertainment in the O2-World.<br />Prepare for business-meetings in the Osthafen.<br />Start from here to discover Berlin with ""Linie 1"".<br />Take a walk over Oberbaumbrücke from Kreuzberg into Friedrichshain.<br />Take snap-shots in front of the East Side Gallery or ...<br />... eat tasty and affordable food in one of the many restaurants of our neighbourhood.<br /><br />Apartment F43 is centrally located, sunny, quiet and inexpensive.<br />Our stucco-studio has 36 sqm and was renovated completely in 2010. It has got a double bed and a bed sofa that may alternatively serve as single or double bed. You can just lounge on it and watch t.v. or DVDs on our 26""-flatscreen, too",https://a0.muscache.com/pictures/765280/c69f0866_original.jpg,594164,https://www.airbnb.com/users/show/594164,Ralph&Maria,0.0,südliche Luisenstadt,Friedrichshain-Kreuzberg,52.500040000000006,13.44265,Entire home/apt,4,Entire home/apt,1.0,1.0,68.0,60,94.0,260,f,1.0
